Item,Gender,Measure,Mu,Sigma,Probability
sells things on eBay,male,log_ntimes,3.252239089924842,1.4101744745858014,0.0020000000000000013
sells things on eBay,male,log_ntimes,3.252239089924842,1.3576057041063905,0.0048
sells things on eBay,male,log_ntimes,3.484363469760865,1.3576057041063905,0.008399999999999994
sells things on eBay,male,log_ntimes,3.484363469760865,1.021331618539989,0.0021999999999999997
sells things on eBay,male,log_ntimes,3.283674675039947,1.021331618539989,0.0021999999999999997
sells things on eBay,male,log_ntimes,3.170981842558831,1.021331618539989,0.003799999999999998
sells things on eBay,male,log_ntimes,3.129450606647879,1.021331618539989,0.0020000000000000013
sells things on eBay,male,log_ntimes,3.129450606647879,1.740967647638172,0.0004
sells things on eBay,male,log_ntimes,3.7607435672543943,1.740967647638172,0.00019999999999999985
sells things on eBay,male,log_ntimes,3.7607435672543943,1.5683093178085983,0.0004
sells things on eBay,male,log_ntimes,3.7607435672543943,1.1229253420606256,0.0017999999999999993
sells things on eBay,male,log_ntimes,3.597676905337721,1.1229253420606256,0.0011999999999999988
sells things on eBay,male,log_ntimes,3.3344038808718324,1.1229253420606256,0.0016
sells things on eBay,male,log_ntimes,3.461991238873452,1.1229253420606256,0.0025999999999999986
sells things on eBay,male,log_ntimes,3.461991238873452,1.200307693798095,0.0048
sells things on eBay,male,log_ntimes,3.3074328023940325,1.200307693798095,0.010000000000000002
sells things on eBay,male,log_ntimes,3.3074328023940325,1.4222016115672886,0.0008
sells things on eBay,male,log_ntimes,3.634552189614624,1.4222016115672886,0.006799999999999999
sells things on eBay,male,log_ntimes,3.5650725848972797,1.4222016115672886,0.0016
sells things on eBay,male,log_ntimes,3.4790747379884124,1.4222016115672886,0.007199999999999997
sells things on eBay,male,log_ntimes,3.8231595559045672,1.4222016115672886,0.00019999999999999985
sells things on eBay,male,log_ntimes,3.5179426427930593,1.4222016115672886,0.015200000000000005
sells things on eBay,male,log_ntimes,3.527587808202952,1.4222016115672886,0.00019999999999999985
sells things on eBay,male,log_ntimes,3.7473953305743635,1.4222016115672886,0.005799999999999999
sells things on eBay,male,log_ntimes,3.5297168255783617,1.4222016115672886,0.0033999999999999994
sells things on eBay,male,log_ntimes,3.5297168255783617,1.1305779148824513,0.004000000000000003
sells things on eBay,male,log_ntimes,3.5297168255783617,1.269181293901056,0.0021999999999999997
sells things on eBay,male,log_ntimes,3.5297168255783617,1.6849106084555387,0.008799999999999999
sells things on eBay,male,log_ntimes,3.5297168255783617,1.7123627825640142,0.0011999999999999988
sells things on eBay,male,log_ntimes,3.332044209819287,1.7123627825640142,0.0032
sells things on eBay,male,log_ntimes,3.332044209819287,1.1556238145567477,0.0009999999999999996
sells things on eBay,male,log_ntimes,3.332044209819287,1.5180001640692353,0.004600000000000001
sells things on eBay,male,log_ntimes,3.994477295782417,1.5180001640692353,0.0025999999999999986
sells things on eBay,male,log_ntimes,3.005379519890994,1.5180001640692353,0.0009999999999999996
sells things on eBay,male,log_ntimes,3.005379519890994,1.2320581544190645,0.0017999999999999993
sells things on eBay,male,log_ntimes,3.3281692024320364,1.2320581544190645,0.011199999999999995
sells things on eBay,male,log_ntimes,3.3281692024320364,1.1364524764940143,0.0016
sells things on eBay,male,log_ntimes,3.3281692024320364,1.2432558322325349,0.006999999999999998
sells things on eBay,male,log_ntimes,3.3281692024320364,1.1979914084076881,0.0096
sells things on eBay,male,log_ntimes,3.3281692024320364,1.4205290121026337,0.005400000000000001
sells things on eBay,male,log_ntimes,3.3281692024320364,1.0760830575600266,0.0020000000000000013
sells things on eBay,male,log_ntimes,3.3281692024320364,1.3181589380837977,0.008200000000000002
sells things on eBay,male,log_ntimes,3.70061531662941,1.3181589380837977,0.004000000000000003
sells things on eBay,male,log_ntimes,3.33958406932652,1.3181589380837977,0.005199999999999997
sells things on eBay,male,log_ntimes,3.672957858070731,1.3181589380837977,0.006799999999999999
sells things on eBay,male,log_ntimes,3.100481617730111,1.3181589380837977,0.006399999999999995
sells things on eBay,male,log_ntimes,3.6984563036821783,1.3181589380837977,0.007199999999999997
sells things on eBay,male,log_ntimes,3.680194611661136,1.3181589380837977,0.007599999999999996
sells things on eBay,male,log_ntimes,3.680194611661136,1.4527407777495682,0.0025999999999999986
sells things on eBay,male,log_ntimes,3.680194611661136,1.429767645895481,0.0020000000000000013
sells things on eBay,male,log_ntimes,3.1590002519078553,1.429767645895481,0.0048
sells things on eBay,male,log_ntimes,3.677641935646534,1.429767645895481,0.0008
sells things on eBay,male,log_ntimes,3.677641935646534,1.043881254736334,0.0024
sells things on eBay,male,log_ntimes,3.643650566227734,1.043881254736334,0.0028000000000000013
sells things on eBay,male,log_ntimes,3.643650566227734,1.3652931456454098,0.00019999999999999985
sells things on eBay,male,log_ntimes,3.643650566227734,1.0610806127078831,0.0020000000000000013
sells things on eBay,male,log_ntimes,3.5619755485095084,1.0610806127078831,0.0011999999999999988
sells things on eBay,male,log_ntimes,3.2615765975788236,1.0610806127078831,0.004000000000000003
sells things on eBay,male,log_ntimes,3.724040158558637,1.0610806127078831,0.00019999999999999985
sells things on eBay,male,log_ntimes,3.3823208301328123,1.0610806127078831,0.003799999999999998
sells things on eBay,male,log_ntimes,3.3823208301328123,1.3851250358857214,0.00019999999999999985
sells things on eBay,male,log_ntimes,3.3823208301328123,1.2221557297743857,0.0025999999999999986
sells things on eBay,male,log_ntimes,3.3376551931723952,1.2221557297743857,0.0033999999999999994
sells things on eBay,male,log_ntimes,3.3013564674183726,1.2221557297743857,0.0020000000000000013
sells things on eBay,male,log_ntimes,3.3009081427007914,1.2221557297743857,0.00019999999999999985
sells things on eBay,male,log_ntimes,3.5840005008503795,1.2221557297743857,0.0004
sells things on eBay,male,log_ntimes,3.52603082312271,1.2221557297743857,0.004399999999999999
sells things on eBay,male,log_ntimes,3.595962196122855,1.2221557297743857,0.0009999999999999996
sells things on eBay,male,log_ntimes,3.595962196122855,1.4559086179360747,0.0004
sells things on eBay,male,log_ntimes,3.367853758390993,1.4559086179360747,0.006599999999999997
sells things on eBay,male,log_ntimes,3.2738725445233285,1.4559086179360747,0.005000000000000001
sells things on eBay,male,log_ntimes,3.1415360933169723,1.4559086179360747,0.00019999999999999985
sells things on eBay,male,log_ntimes,3.1415360933169723,1.3350526150316,0.004600000000000001
sells things on eBay,male,log_ntimes,3.1415360933169723,1.0239420970901847,0.00019999999999999985
sells things on eBay,male,log_ntimes,3.1558381277136505,1.0239420970901847,0.0028000000000000013
sells things on eBay,male,log_ntimes,3.1731774425134063,1.0239420970901847,0.0011999999999999988
sells things on eBay,male,log_ntimes,3.1731774425134063,1.6023274045437574,0.0014000000000000006
sells things on eBay,male,log_ntimes,2.7942322194576263,1.6023274045437574,0.0005999999999999994
sells things on eBay,male,log_ntimes,3.791667476762086,1.6023274045437574,0.005000000000000001
sells things on eBay,male,log_ntimes,3.9608512655831873,1.6023274045437574,0.0020000000000000013
sells things on eBay,male,log_ntimes,3.9608512655831873,1.5290295029990375,0.00019999999999999985
sells things on eBay,male,log_ntimes,3.680145067628473,1.5290295029990375,0.0008
sells things on eBay,male,log_ntimes,3.2859762059524655,1.5290295029990375,0.0008
sells things on eBay,male,log_ntimes,3.33561489591375,1.5290295029990375,0.00019999999999999985
sells things on eBay,male,log_ntimes,3.174434204120189,1.5290295029990375,0.008799999999999999
sells things on eBay,male,log_ntimes,3.5505620460025966,1.5290295029990375,0.0020000000000000013
sells things on eBay,male,log_ntimes,3.349359284620732,1.5290295029990375,0.0032
sells things on eBay,male,log_ntimes,3.349359284620732,0.9840674186125398,0.0008
sells things on eBay,male,log_ntimes,3.1504384987056255,0.9840674186125398,0.0008
sells things on eBay,male,log_ntimes,3.3251534961163998,0.9840674186125398,0.003799999999999998
sells things on eBay,male,log_ntimes,3.3251534961163998,1.1637090356089175,0.013199999999999995
sells things on eBay,male,log_ntimes,3.3251534961163998,1.3556768209673464,0.0005999999999999994
sells things on eBay,male,log_ntimes,3.3251534961163998,1.0039491881616414,0.003799999999999998
sells things on eBay,male,log_ntimes,3.3251534961163998,1.5474991407245398,0.021
sells things on eBay,male,log_ntimes,3.3251534961163998,1.1334458668716252,0.005999999999999996
sells things on eBay,male,log_ntimes,3.118845217395574,1.1334458668716252,0.0033999999999999994
sells things on eBay,male,log_ntimes,3.412726374808699,1.1334458668716252,0.004399999999999999
sells things on eBay,male,log_ntimes,3.4540011547505856,1.1334458668716252,0.006399999999999995
