Item,Gender,Measure,Mu,Sigma,Probability
listens to live music,female,log_ntimes,3.1304206675849855,1.1283200234174728,0.0014000000000000006
listens to live music,female,log_ntimes,2.810914588626474,1.1283200234174728,0.0009999999999999996
listens to live music,female,log_ntimes,2.810914588626474,1.1704939464107156,0.0009999999999999996
listens to live music,female,log_ntimes,2.810914588626474,1.2748599145561457,0.004399999999999999
listens to live music,female,log_ntimes,2.810914588626474,1.600171949248761,0.0032
listens to live music,female,log_ntimes,3.080074549652636,1.600171949248761,0.0008
listens to live music,female,log_ntimes,2.8286746866069734,1.600171949248761,0.0004
listens to live music,female,log_ntimes,2.8286746866069734,1.592515001539141,0.00019999999999999985
listens to live music,female,log_ntimes,2.6536224270239472,1.592515001539141,0.003799999999999998
listens to live music,female,log_ntimes,2.6536224270239472,1.482186052016914,0.0008
listens to live music,female,log_ntimes,3.3906377642415464,1.482186052016914,0.0020000000000000013
listens to live music,female,log_ntimes,3.2629000954329967,1.482186052016914,0.00019999999999999985
listens to live music,female,log_ntimes,3.2629000954329967,0.9594581229612231,0.002999999999999998
listens to live music,female,log_ntimes,3.0503656063228846,0.9594581229612231,0.008399999999999994
listens to live music,female,log_ntimes,3.1044121994636953,0.9594581229612231,0.005199999999999997
listens to live music,female,log_ntimes,3.1044121994636953,1.41410042764619,0.0016
listens to live music,female,log_ntimes,3.1044121994636953,1.0098636010661721,0.013999999999999997
listens to live music,female,log_ntimes,3.1044121994636953,1.2682732054963708,0.007800000000000002
listens to live music,female,log_ntimes,2.899986756965518,1.2682732054963708,0.0005999999999999994
listens to live music,female,log_ntimes,3.011746108531952,1.2682732054963708,0.006199999999999998
listens to live music,female,log_ntimes,2.9181186226196587,1.2682732054963708,0.0014000000000000006
listens to live music,female,log_ntimes,2.8238729340955615,1.2682732054963708,0.0032
listens to live music,female,log_ntimes,2.7609422081150115,1.2682732054963708,0.0014000000000000006
listens to live music,female,log_ntimes,2.7609422081150115,0.980777689255774,0.008399999999999994
listens to live music,female,log_ntimes,3.1573071191087365,0.980777689255774,0.0016
listens to live music,female,log_ntimes,3.1573071191087365,1.1576988594606519,0.002999999999999998
listens to live music,female,log_ntimes,3.1573071191087365,1.0630676429718733,0.0048
listens to live music,female,log_ntimes,3.1573071191087365,0.9402419719845057,0.0035999999999999986
listens to live music,female,log_ntimes,3.1573071191087365,1.4456994272768497,0.0017999999999999993
listens to live music,female,log_ntimes,2.8396439575590193,1.4456994272768497,0.0056000000000000025
listens to live music,female,log_ntimes,2.8396439575590193,1.2944388901814818,0.0009999999999999996
listens to live music,female,log_ntimes,2.8396439575590193,1.5014330600388348,0.0009999999999999996
listens to live music,female,log_ntimes,2.7408832404762506,1.5014330600388348,0.0016
listens to live music,female,log_ntimes,2.7408832404762506,1.1061584460549057,0.0024
