Item,Gender,Measure,Gamma,Delta,Probability
does cocaine,female,existence,0.10653833788819611,4.234905599150807,0.0024
does cocaine,female,existence,0.13019055617041886,4.234905599150807,0.0024
does cocaine,female,existence,0.12801800528541207,4.234905599150807,0.005400000000000001
does cocaine,female,existence,0.14959145686589181,4.234905599150807,0.003799999999999998
does cocaine,female,existence,0.11136426753364503,4.234905599150807,0.009800000000000005
does cocaine,female,existence,0.11449947953224182,4.234905599150807,0.0017999999999999993
does cocaine,female,existence,0.10852832347154617,4.234905599150807,0.002999999999999998
does cocaine,female,existence,0.10852832347154617,4.2841108166612685,0.005199999999999997
does cocaine,female,existence,0.10852832347154617,5.396898882463574,0.0004
does cocaine,female,existence,0.10852832347154617,3.1119435792788863,0.007199999999999997
does cocaine,female,existence,0.10852832347154617,5.490034224931151,0.005799999999999999
does cocaine,female,existence,0.10852832347154617,4.682039993349463,0.008200000000000002
does cocaine,female,existence,0.10852832347154617,4.824186791665852,0.008200000000000002
does cocaine,female,existence,0.10852832347154617,5.372513516340405,0.018599999999999995
does cocaine,female,existence,0.10852832347154617,4.306559369433671,0.0008
does cocaine,female,existence,0.1103579078335315,4.306559369433671,0.0014000000000000006
does cocaine,female,existence,0.1103579078335315,3.824295336380601,0.008799999999999999
does cocaine,female,existence,0.1103579078335315,3.3000250114127994,0.0016
does cocaine,female,existence,0.1103579078335315,4.162075277417898,0.011800000000000008
does cocaine,female,existence,0.09934395109303296,4.162075277417898,0.008799999999999999
does cocaine,female,existence,0.09934395109303296,3.978375776205212,0.0011999999999999988
does cocaine,female,existence,0.10681730974465609,3.978375776205212,0.0032
does cocaine,female,existence,0.10418652440421283,3.978375776205212,0.0017999999999999993
does cocaine,female,existence,0.10418652440421283,3.9290749467909336,0.0028000000000000013
does cocaine,female,existence,0.10418652440421283,4.376402543857694,0.009399999999999999
does cocaine,female,existence,0.10418652440421283,5.0873753149062395,0.0021999999999999997
does cocaine,female,existence,0.10418652440421283,3.6418555537238717,0.0021999999999999997
does cocaine,female,existence,0.13407268025912344,3.6418555537238717,0.005199999999999997
does cocaine,female,existence,0.17693105316720903,3.6418555537238717,0.00019999999999999985
does cocaine,female,existence,0.06789276236668229,3.6418555537238717,0.0008
does cocaine,female,existence,0.06789276236668229,4.858594643883407,0.015799999999999995
does cocaine,female,existence,0.06789276236668229,6.204685068223625,0.0005999999999999994
does cocaine,female,existence,0.06789276236668229,7.485786115285009,0.00019999999999999985
does cocaine,female,existence,0.08783419872634113,7.485786115285009,0.005400000000000001
does cocaine,female,existence,0.08783419872634113,7.279895548708737,0.0048
does cocaine,female,existence,0.08783419872634113,5.65841319039464,0.0017999999999999993
does cocaine,female,existence,0.08787153637968004,5.65841319039464,0.018999999999999996
does cocaine,female,existence,0.11460036924108863,5.65841319039464,0.0021999999999999997
does cocaine,female,existence,0.11460036924108863,3.5276591777801514,0.005199999999999997
does cocaine,female,existence,0.11460036924108863,3.9757351973094046,0.0032
does cocaine,female,existence,0.11460036924108863,4.334196704439819,0.005000000000000001
does cocaine,female,existence,0.08859143243171275,4.334196704439819,0.007599999999999996
