Item,Gender,Measure,Mu,Sigma,Probability
listens to Pandora,male,log_ntimes,6.122310927603394,1.210373379290104,0.004199999999999997
listens to Pandora,male,log_ntimes,6.122310927603394,1.1024478310719132,0.004199999999999997
listens to Pandora,male,log_ntimes,6.122310927603394,1.4209498465061188,0.0033999999999999994
listens to Pandora,male,log_ntimes,6.122310927603394,1.444861029740423,0.0033999999999999994
listens to Pandora,male,log_ntimes,5.96462165703997,1.444861029740423,0.0028000000000000013
listens to Pandora,male,log_ntimes,6.35538118891418,1.444861029740423,0.002999999999999998
listens to Pandora,male,log_ntimes,5.762786485720426,1.444861029740423,0.004199999999999997
listens to Pandora,male,log_ntimes,6.639063889160752,1.444861029740423,0.0014000000000000006
listens to Pandora,male,log_ntimes,6.020384475123137,1.444861029740423,0.002999999999999998
listens to Pandora,male,log_ntimes,6.031661469023675,1.444861029740423,0.0014000000000000006
listens to Pandora,male,log_ntimes,6.031661469023675,1.0192796168848872,0.0048
listens to Pandora,male,log_ntimes,6.333258277736604,1.0192796168848872,0.0008
listens to Pandora,male,log_ntimes,6.3940896186977625,1.0192796168848872,0.0017999999999999993
listens to Pandora,male,log_ntimes,6.523715590592474,1.0192796168848872,0.0016
listens to Pandora,male,log_ntimes,5.732242588419467,1.0192796168848872,0.0005999999999999994
listens to Pandora,male,log_ntimes,5.732242588419467,1.1080553638748825,0.004399999999999999
listens to Pandora,male,log_ntimes,6.401304237078875,1.1080553638748825,0.003799999999999998
listens to Pandora,male,log_ntimes,6.240753070451319,1.1080553638748825,0.008599999999999997
listens to Pandora,male,log_ntimes,6.326888548210263,1.1080553638748825,0.003799999999999998
listens to Pandora,male,log_ntimes,6.326888548210263,1.031458608340472,0.0028000000000000013
listens to Pandora,male,log_ntimes,5.968048262875527,1.031458608340472,0.009200000000000002
listens to Pandora,male,log_ntimes,6.231989790685475,1.031458608340472,0.0020000000000000013
listens to Pandora,male,log_ntimes,6.138074682094157,1.031458608340472,0.009000000000000001
listens to Pandora,male,log_ntimes,6.249289584811777,1.031458608340472,0.00019999999999999985
listens to Pandora,male,log_ntimes,6.249289584811777,1.048226347193122,0.00019999999999999985
listens to Pandora,male,log_ntimes,5.903702457435429,1.048226347193122,0.013999999999999997
listens to Pandora,male,log_ntimes,5.819288885686547,1.048226347193122,0.0033999999999999994
listens to Pandora,male,log_ntimes,6.4236148237250745,1.048226347193122,0.002999999999999998
listens to Pandora,male,log_ntimes,6.4236148237250745,1.0799583233892918,0.0021999999999999997
listens to Pandora,male,log_ntimes,6.4236148237250745,0.9584907349199057,0.004199999999999997
listens to Pandora,male,log_ntimes,5.719422434922308,0.9584907349199057,0.0016
listens to Pandora,male,log_ntimes,6.234594655688852,0.9584907349199057,0.007999999999999997
