Item,Gender,Measure,Gamma,Delta,Probability
sells companies,male,existence,0.05801329226233065,5.81944395089522,0.0014000000000000006
sells companies,male,existence,0.05801329226233065,6.548299570567906,0.005000000000000001
sells companies,male,existence,0.05801329226233065,4.940066603012383,0.0016
sells companies,male,existence,0.05801329226233065,4.554495646152645,0.0016
sells companies,male,existence,0.05801329226233065,5.817868036683649,0.0005999999999999994
sells companies,male,existence,0.058194924145936966,5.817868036683649,0.003799999999999998
sells companies,male,existence,0.058194924145936966,6.963807833380997,0.0011999999999999988
sells companies,male,existence,0.058194924145936966,4.9041462247259915,0.0016
sells companies,male,existence,0.06595613644458354,4.9041462247259915,0.0033999999999999994
sells companies,male,existence,0.049535121070221066,4.9041462247259915,0.0016
sells companies,male,existence,0.0606814946513623,4.9041462247259915,0.0004
sells companies,male,existence,0.0606814946513623,6.577631062828004,0.008599999999999997
sells companies,male,existence,0.04077637428417802,6.577631062828004,0.0011999999999999988
sells companies,male,existence,0.04077637428417802,6.9011046201922,0.009800000000000005
sells companies,male,existence,0.04077637428417802,7.413336401805282,0.006999999999999998
sells companies,male,existence,0.04077637428417802,7.91832972317934,0.0004
sells companies,male,existence,0.04077637428417802,7.990629610139877,0.0024
sells companies,male,existence,0.04077637428417802,8.677588496357203,0.0014000000000000006
sells companies,male,existence,0.04077637428417802,6.729620334226638,0.0011999999999999988
sells companies,male,existence,0.04077637428417802,10.709593491628766,0.005400000000000001
sells companies,male,existence,0.04077637428417802,9.727295895572752,0.00019999999999999985
sells companies,male,existence,0.04028572514653206,9.727295895572752,0.007400000000000002
sells companies,male,existence,0.04207709105685353,9.727295895572752,0.0014000000000000006
sells companies,male,existence,0.03872347017750144,9.727295895572752,0.0008
sells companies,male,existence,0.03872347017750144,5.612925696186721,0.0004
sells companies,male,existence,0.04261493915691972,5.612925696186721,0.0004
sells companies,male,existence,0.04261493915691972,8.303491771221161,0.005799999999999999
sells companies,male,existence,0.04333358537405729,8.303491771221161,0.007999999999999997
sells companies,male,existence,0.04333358537405729,5.432004178874195,0.007199999999999997
sells companies,male,existence,0.07024595281109214,5.432004178874195,0.009800000000000005
sells companies,male,existence,0.07024595281109214,5.8596421033144,0.0005999999999999994
sells companies,male,existence,0.07024595281109214,3.967052709776908,0.0025999999999999986
sells companies,male,existence,0.07024595281109214,3.8777985493652523,0.0004
sells companies,male,existence,0.07024595281109214,4.328064655419439,0.0028000000000000013
sells companies,male,existence,0.07024595281109214,4.409550386480987,0.004399999999999999
sells companies,male,existence,0.0685343339573592,4.409550386480987,0.0020000000000000013
sells companies,male,existence,0.059819758869707584,4.409550386480987,0.0025999999999999986
sells companies,male,existence,0.059819758869707584,4.038789798505604,0.0025999999999999986
sells companies,male,existence,0.059819758869707584,6.059616734273732,0.002999999999999998
sells companies,male,existence,0.059819758869707584,6.204244866967201,0.005199999999999997
sells companies,male,existence,0.059819758869707584,5.952040525153279,0.006599999999999997
sells companies,male,existence,0.059819758869707584,5.793137452565134,0.007199999999999997
sells companies,male,existence,0.059819758869707584,5.113769671879709,0.011599999999999997
sells companies,male,existence,0.059819758869707584,5.536974663846195,0.00019999999999999985
sells companies,male,existence,0.059819758869707584,5.2577209658920765,0.0004
