Item,Gender,Measure,Mu,Sigma,Probability
steals cars,male,log_ntimes,1.9158397288993,1.4862243132665753,0.005199999999999997
steals cars,male,log_ntimes,1.36254679877311,1.4862243132665753,0.002999999999999998
steals cars,male,log_ntimes,1.36254679877311,1.4199849963188171,0.007199999999999997
steals cars,male,log_ntimes,1.619990561157465,1.4199849963188171,0.010000000000000002
steals cars,male,log_ntimes,1.5361581183969975,1.4199849963188171,0.0048
steals cars,male,log_ntimes,1.5361581183969975,1.488681265618652,0.009200000000000002
steals cars,male,log_ntimes,1.311788628809154,1.488681265618652,0.0008
steals cars,male,log_ntimes,1.311788628809154,1.5495306649245322,0.00019999999999999985
steals cars,male,log_ntimes,1.8268435075879097,1.5495306649245322,0.0014000000000000006
steals cars,male,log_ntimes,1.619225658942014,1.5495306649245322,0.0009999999999999996
steals cars,male,log_ntimes,1.814456710126251,1.5495306649245322,0.0106
steals cars,male,log_ntimes,1.814456710126251,1.384112883824855,0.0028000000000000013
steals cars,male,log_ntimes,1.489828759804368,1.384112883824855,0.0011999999999999988
steals cars,male,log_ntimes,1.7068661283701658,1.384112883824855,0.0024
steals cars,male,log_ntimes,1.7068661283701658,1.6621693363413215,0.0014000000000000006
steals cars,male,log_ntimes,1.5954979066736996,1.6621693363413215,0.0008
steals cars,male,log_ntimes,1.5954979066736996,1.1877986043691635,0.0009999999999999996
steals cars,male,log_ntimes,1.5954979066736996,1.283155451528728,0.015999999999999993
steals cars,male,log_ntimes,1.756338314153254,1.283155451528728,0.0004
steals cars,male,log_ntimes,1.756338314153254,1.2066923221573234,0.0014000000000000006
steals cars,male,log_ntimes,1.756338314153254,1.1311537912115455,0.0016
steals cars,male,log_ntimes,1.793883228674531,1.1311537912115455,0.0014000000000000006
steals cars,male,log_ntimes,1.793883228674531,1.3522650278173387,0.0008
steals cars,male,log_ntimes,1.732435456942767,1.3522650278173387,0.0032
steals cars,male,log_ntimes,1.732435456942767,1.103931493125856,0.004000000000000003
steals cars,male,log_ntimes,1.732435456942767,1.4983406499959528,0.00019999999999999985
steals cars,male,log_ntimes,1.732435456942767,1.4235355472192168,0.0048
steals cars,male,log_ntimes,1.7933254456147552,1.4235355472192168,0.0017999999999999993
steals cars,male,log_ntimes,1.425254107452929,1.4235355472192168,0.004399999999999999
steals cars,male,log_ntimes,1.7254152614623308,1.4235355472192168,0.0032
steals cars,male,log_ntimes,1.7254152614623308,1.1619401350617409,0.0106
steals cars,male,log_ntimes,1.7496244562789798,1.1619401350617409,0.0028000000000000013
steals cars,male,log_ntimes,1.7496244562789798,1.5030714543536305,0.0005999999999999994
steals cars,male,log_ntimes,1.7496244562789798,1.2986715673469007,0.002999999999999998
steals cars,male,log_ntimes,1.7634957656264305,1.2986715673469007,0.005199999999999997
