Item,Gender,Measure,Mu,Sigma,Probability
plays the banjo,female,log_ntimes,4.45155217545107,1.5914383926428854,0.00019999999999999985
plays the banjo,female,log_ntimes,4.108433744404465,1.5914383926428854,0.0011999999999999988
plays the banjo,female,log_ntimes,4.108433744404465,2.1343441819772124,0.0017999999999999993
plays the banjo,female,log_ntimes,3.827758652623743,2.1343441819772124,0.003799999999999998
plays the banjo,female,log_ntimes,4.566508224233985,2.1343441819772124,0.0005999999999999994
plays the banjo,female,log_ntimes,4.566508224233985,2.073212747927755,0.005000000000000001
plays the banjo,female,log_ntimes,4.566508224233985,2.776390395592898,0.0020000000000000013
plays the banjo,female,log_ntimes,4.566508224233985,1.8287415616214275,0.0008
plays the banjo,female,log_ntimes,4.566508224233985,1.759471301920712,0.0005999999999999994
plays the banjo,female,log_ntimes,3.7803452578373253,1.759471301920712,0.0011999999999999988
plays the banjo,female,log_ntimes,3.7803452578373253,1.9813818228431046,0.005400000000000001
plays the banjo,female,log_ntimes,3.483201863709837,1.9813818228431046,0.0005999999999999994
plays the banjo,female,log_ntimes,4.677468861918896,1.9813818228431046,0.0009999999999999996
plays the banjo,female,log_ntimes,4.37996806576848,1.9813818228431046,0.007400000000000002
plays the banjo,female,log_ntimes,4.1582279512658715,1.9813818228431046,0.008399999999999994
plays the banjo,female,log_ntimes,4.1582279512658715,1.898280088789761,0.0048
plays the banjo,female,log_ntimes,3.7799854413606226,1.898280088789761,0.0017999999999999993
plays the banjo,female,log_ntimes,3.8002842967398465,1.898280088789761,0.0008
plays the banjo,female,log_ntimes,4.238807710353285,1.898280088789761,0.004600000000000001
plays the banjo,female,log_ntimes,4.987819022499025,1.898280088789761,0.0008
plays the banjo,female,log_ntimes,4.987819022499025,2.4492583354003727,0.0032
plays the banjo,female,log_ntimes,4.19021108886227,2.4492583354003727,0.006599999999999997
plays the banjo,female,log_ntimes,4.530329348053783,2.4492583354003727,0.0004
plays the banjo,female,log_ntimes,4.530329348053783,1.61941405152902,0.0008
plays the banjo,female,log_ntimes,4.384751170873642,1.61941405152902,0.0028000000000000013
plays the banjo,female,log_ntimes,4.384751170873642,1.743376119993627,0.0032
plays the banjo,female,log_ntimes,4.680704581551254,1.743376119993627,0.0033999999999999994
plays the banjo,female,log_ntimes,4.172691586427391,1.743376119993627,0.011599999999999997
plays the banjo,female,log_ntimes,4.671705921646208,1.743376119993627,0.003799999999999998
plays the banjo,female,log_ntimes,3.8398490147665143,1.743376119993627,0.00019999999999999985
plays the banjo,female,log_ntimes,3.8312866375781596,1.743376119993627,0.0004
plays the banjo,female,log_ntimes,3.8312866375781596,1.8238248233683407,0.0025999999999999986
plays the banjo,female,log_ntimes,3.8312866375781596,1.8518962245434523,0.0008
plays the banjo,female,log_ntimes,3.9279199950397015,1.8518962245434523,0.0020000000000000013
plays the banjo,female,log_ntimes,4.457150383386761,1.8518962245434523,0.00019999999999999985
plays the banjo,female,log_ntimes,3.9396430226042867,1.8518962245434523,0.0008
plays the banjo,female,log_ntimes,4.093302737455815,1.8518962245434523,0.0020000000000000013
plays the banjo,female,log_ntimes,4.093302737455815,1.7473650351166725,0.007400000000000002
plays the banjo,female,log_ntimes,4.093302737455815,1.9875808199867606,0.005000000000000001
plays the banjo,female,log_ntimes,4.093302737455815,1.9242447591386735,0.0035999999999999986
plays the banjo,female,log_ntimes,4.070332068949938,1.9242447591386735,0.0014000000000000006
plays the banjo,female,log_ntimes,4.051234875805676,1.9242447591386735,0.0014000000000000006
plays the banjo,female,log_ntimes,4.081024648621678,1.9242447591386735,0.0011999999999999988
plays the banjo,female,log_ntimes,4.280038618016988,1.9242447591386735,0.006399999999999995
plays the banjo,female,log_ntimes,4.377028062008321,1.9242447591386735,0.0005999999999999994
plays the banjo,female,log_ntimes,4.377028062008321,1.7831625835970044,0.004199999999999997
