Item,Gender,Measure,Gamma,Delta,Probability
goes to the movies,male,existence,0.8505425055045635,2.3946712375618517,0.009000000000000001
goes to the movies,male,existence,0.8472248958423734,2.3946712375618517,0.007599999999999996
goes to the movies,male,existence,0.7874618943314999,2.3946712375618517,0.00019999999999999985
goes to the movies,male,existence,0.8800319207366556,2.3946712375618517,0.0024
goes to the movies,male,existence,0.8285299877170473,2.3946712375618517,0.0033999999999999994
goes to the movies,male,existence,0.8419562373310328,2.3946712375618517,0.007400000000000002
goes to the movies,male,existence,0.8205370174255222,2.3946712375618517,0.00019999999999999985
goes to the movies,male,existence,0.8205370174255222,1.7630426213145256,0.002999999999999998
goes to the movies,male,existence,0.8387387658003718,1.7630426213145256,0.0004
goes to the movies,male,existence,0.852376400725916,1.7630426213145256,0.0005999999999999994
goes to the movies,male,existence,0.8366269229445606,1.7630426213145256,0.0021999999999999997
goes to the movies,male,existence,0.7604572998825461,1.7630426213145256,0.0004
goes to the movies,male,existence,0.8628711102064699,1.7630426213145256,0.0008
goes to the movies,male,existence,0.7538761857431382,1.7630426213145256,0.0008
goes to the movies,male,existence,0.7986701559275389,1.7630426213145256,0.004600000000000001
goes to the movies,male,existence,0.7986701559275389,2.4990275385789573,0.0004
goes to the movies,male,existence,0.8152431605849415,2.4990275385789573,0.0032
goes to the movies,male,existence,0.8488097749650478,2.4990275385789573,0.0262
goes to the movies,male,existence,0.8488097749650478,1.7277988488785923,0.0011999999999999988
goes to the movies,male,existence,0.7623579630162567,1.7277988488785923,0.0008
goes to the movies,male,existence,0.8598914858885109,1.7277988488785923,0.006599999999999997
goes to the movies,male,existence,0.8238500372972339,1.7277988488785923,0.0024
goes to the movies,male,existence,0.7427148472052068,1.7277988488785923,0.0005999999999999994
goes to the movies,male,existence,0.7419765752274543,1.7277988488785923,0.005400000000000001
goes to the movies,male,existence,0.8686704896390438,1.7277988488785923,0.0021999999999999997
goes to the movies,male,existence,0.8686704896390438,2.0083778770640492,0.0024
goes to the movies,male,existence,0.8527915889862925,2.0083778770640492,0.0009999999999999996
goes to the movies,male,existence,0.8591006752103567,2.0083778770640492,0.004399999999999999
goes to the movies,male,existence,0.813432892318815,2.0083778770640492,0.0017999999999999993
goes to the movies,male,existence,0.8312261856626719,2.0083778770640492,0.0021999999999999997
goes to the movies,male,existence,0.8312261856626719,2.9198250034824014,0.00019999999999999985
goes to the movies,male,existence,0.8300457715522498,2.9198250034824014,0.0035999999999999986
goes to the movies,male,existence,0.830061353975907,2.9198250034824014,0.0011999999999999988
goes to the movies,male,existence,0.86701196921058,2.9198250034824014,0.0020000000000000013
goes to the movies,male,existence,0.86701196921058,2.5930553558282554,0.0032
goes to the movies,male,existence,0.8645959615241736,2.5930553558282554,0.0005999999999999994
goes to the movies,male,existence,0.8645959615241736,2.2872017812915146,0.0011999999999999988
goes to the movies,male,existence,0.8259829941671342,2.2872017812915146,0.0024
goes to the movies,male,existence,0.8259829941671342,1.7600186401978135,0.0024
goes to the movies,male,existence,0.8259829941671342,2.817710256204009,0.007400000000000002
goes to the movies,male,existence,0.8725988685619086,2.817710256204009,0.009800000000000005
goes to the movies,male,existence,0.8470503569114953,2.817710256204009,0.0009999999999999996
goes to the movies,male,existence,0.8730721331667155,2.817710256204009,0.0009999999999999996
goes to the movies,male,existence,0.8730721331667155,2.655931015033275,0.009399999999999999
goes to the movies,male,existence,0.869455685839057,2.655931015033275,0.0004
goes to the movies,male,existence,0.7998452030587941,2.655931015033275,0.0005999999999999994
goes to the movies,male,existence,0.8276590695604682,2.655931015033275,0.0008
goes to the movies,male,existence,0.8276590695604682,1.5624957508407533,0.0025999999999999986
goes to the movies,male,existence,0.8396201515570283,1.5624957508407533,0.00019999999999999985
goes to the movies,male,existence,0.8236150848679245,1.5624957508407533,0.003799999999999998
goes to the movies,male,existence,0.811530091566965,1.5624957508407533,0.0008
goes to the movies,male,existence,0.7104913864750415,1.5624957508407533,0.0008
goes to the movies,male,existence,0.7162330343853682,1.5624957508407533,0.0017999999999999993
goes to the movies,male,existence,0.8150827591307461,1.5624957508407533,0.0017999999999999993
goes to the movies,male,existence,0.8023775310721248,1.5624957508407533,0.0021999999999999997
goes to the movies,male,existence,0.8255395193118602,1.5624957508407533,0.0016
goes to the movies,male,existence,0.809892161982134,1.5624957508407533,0.0016
goes to the movies,male,existence,0.7924200894776732,1.5624957508407533,0.005799999999999999
goes to the movies,male,existence,0.7863640827126801,1.5624957508407533,0.0008
goes to the movies,male,existence,0.7863640827126801,2.0423841662704945,0.003799999999999998
goes to the movies,male,existence,0.8658466904889792,2.0423841662704945,0.0004
goes to the movies,male,existence,0.8437863218132406,2.0423841662704945,0.0014000000000000006
goes to the movies,male,existence,0.8533077770844102,2.0423841662704945,0.0032
goes to the movies,male,existence,0.8441627761349082,2.0423841662704945,0.0009999999999999996
goes to the movies,male,existence,0.8441627761349082,2.581716887652874,0.0016
goes to the movies,male,existence,0.8441627761349082,2.003918495029211,0.005199999999999997
goes to the movies,male,existence,0.8477183394134045,2.003918495029211,0.00019999999999999985
goes to the movies,male,existence,0.8515909740235656,2.003918495029211,0.0004
goes to the movies,male,existence,0.8399829447735101,2.003918495029211,0.027799999999999995
goes to the movies,male,existence,0.8361238879151642,2.003918495029211,0.007199999999999997
goes to the movies,male,existence,0.8527693338692188,2.003918495029211,0.0009999999999999996
goes to the movies,male,existence,0.8527693338692188,2.130094019230455,0.009200000000000002
goes to the movies,male,existence,0.8527693338692188,2.787186612840742,0.005199999999999997
goes to the movies,male,existence,0.8527693338692188,3.0145933968015015,0.013999999999999997
goes to the movies,male,existence,0.8843117810320109,3.0145933968015015,0.0011999999999999988
goes to the movies,male,existence,0.8849265293683857,3.0145933968015015,0.0014000000000000006
goes to the movies,male,existence,0.8588759589474648,3.0145933968015015,0.0025999999999999986
goes to the movies,male,existence,0.8588759589474648,2.4507389054633677,0.0014000000000000006
goes to the movies,male,existence,0.8852579896338284,2.4507389054633677,0.0024
goes to the movies,male,existence,0.8046764086466283,2.4507389054633677,0.005999999999999996
goes to the movies,male,existence,0.7809813343919814,2.4507389054633677,0.00019999999999999985
goes to the movies,male,existence,0.7624046937562525,2.4507389054633677,0.0033999999999999994
goes to the movies,male,existence,0.9075832089874893,2.4507389054633677,0.0017999999999999993
goes to the movies,male,existence,0.9075832089874893,2.5377216516062617,0.0014000000000000006
goes to the movies,male,existence,0.8703289427794516,2.5377216516062617,0.0009999999999999996
goes to the movies,male,existence,0.8703289427794516,3.868594637606293,0.0028000000000000013
goes to the movies,male,existence,0.8703289427794516,2.9468866996467113,0.005999999999999996
goes to the movies,male,existence,0.8843370885588229,2.9468866996467113,0.0025999999999999986
goes to the movies,male,existence,0.8843370885588229,3.1244734302163124,0.0009999999999999996
goes to the movies,male,existence,0.8843370885588229,3.210859140381217,0.00019999999999999985
goes to the movies,male,existence,0.8843370885588229,4.780861525796354,0.0004
goes to the movies,male,existence,0.8843370885588229,2.3131798719987273,0.0017999999999999993
goes to the movies,male,existence,0.8481327395420521,2.3131798719987273,0.004399999999999999
goes to the movies,male,existence,0.8155909557826817,2.3131798719987273,0.004399999999999999
goes to the movies,male,existence,0.8444580165669322,2.3131798719987273,0.0008
goes to the movies,male,existence,0.8566558330785483,2.3131798719987273,0.006599999999999997
goes to the movies,male,existence,0.8631474296562374,2.3131798719987273,0.005799999999999999
goes to the movies,male,existence,0.8631474296562374,2.2617666283622384,0.0004
goes to the movies,male,existence,0.8672008982393891,2.2617666283622384,0.0028000000000000013
goes to the movies,male,existence,0.7965124060865492,2.2617666283622384,0.00019999999999999985
goes to the movies,male,existence,0.791495882673189,2.2617666283622384,0.0020000000000000013
goes to the movies,male,existence,0.8070824884343892,2.2617666283622384,0.0011999999999999988
goes to the movies,male,existence,0.8431988952215761,2.2617666283622384,0.0005999999999999994
goes to the movies,male,existence,0.7896350750233978,2.2617666283622384,0.0008
goes to the movies,male,existence,0.7970661602448672,2.2617666283622384,0.0025999999999999986
goes to the movies,male,existence,0.8544521180447191,2.2617666283622384,0.0008
goes to the movies,male,existence,0.8544521180447191,2.475295099429786,0.0011999999999999988
goes to the movies,male,existence,0.8309277491644025,2.475295099429786,0.0025999999999999986
goes to the movies,male,existence,0.8445921107195318,2.475295099429786,0.0016
goes to the movies,male,existence,0.8445921107195318,2.3881828761659563,0.0014000000000000006
goes to the movies,male,existence,0.8445921107195318,2.5355716003105044,0.0025999999999999986
goes to the movies,male,existence,0.8445921107195318,2.2852926049381495,0.0021999999999999997
goes to the movies,male,existence,0.8070043991319835,2.2852926049381495,0.002999999999999998
goes to the movies,male,existence,0.8209931906312704,2.2852926049381495,0.0048
goes to the movies,male,existence,0.8209931906312704,1.3863786240108311,0.004600000000000001
goes to the movies,male,existence,0.7479998718481511,1.3863786240108311,0.0014000000000000006
goes to the movies,male,existence,0.8283501595724374,1.3863786240108311,0.0014000000000000006
goes to the movies,male,existence,0.736053598113358,1.3863786240108311,0.0004
goes to the movies,male,existence,0.7937098909169436,1.3863786240108311,0.0009999999999999996
goes to the movies,male,existence,0.7591390423476696,1.3863786240108311,0.0004
goes to the movies,male,existence,0.7591390423476696,2.0274949027225375,0.0020000000000000013
goes to the movies,male,existence,0.8548606215044856,2.0274949027225375,0.004199999999999997
goes to the movies,male,existence,0.8548606215044856,2.6190801290795207,0.0005999999999999994
goes to the movies,male,existence,0.8455432581249624,2.6190801290795207,0.015
goes to the movies,male,existence,0.8585761580616236,2.6190801290795207,0.0025999999999999986
goes to the movies,male,existence,0.8498564080800861,2.6190801290795207,0.0017999999999999993
goes to the movies,male,existence,0.8368791113607585,2.6190801290795207,0.0009999999999999996
goes to the movies,male,existence,0.809205177007243,2.6190801290795207,0.004199999999999997
goes to the movies,male,existence,0.9007286236155778,2.6190801290795207,0.0004
goes to the movies,male,existence,0.8396183683071285,2.6190801290795207,0.0028000000000000013
goes to the movies,male,existence,0.811931645963341,2.6190801290795207,0.0004
goes to the movies,male,existence,0.811931645963341,1.7806787975132465,0.0025999999999999986
goes to the movies,male,existence,0.8299011073540896,1.7806787975132465,0.0024
goes to the movies,male,existence,0.8299011073540896,2.4287516600452363,0.0014000000000000006
goes to the movies,male,existence,0.8299011073540896,2.638838696293533,0.006799999999999999
goes to the movies,male,existence,0.8919197872746736,2.638838696293533,0.00019999999999999985
goes to the movies,male,existence,0.8990309240762144,2.638838696293533,0.00019999999999999985
goes to the movies,male,existence,0.8861729241907597,2.638838696293533,0.0025999999999999986
goes to the movies,male,existence,0.894256184110418,2.638838696293533,0.0004
goes to the movies,male,existence,0.9029416562989354,2.638838696293533,0.0004
goes to the movies,male,existence,0.7838788677472621,2.638838696293533,0.0035999999999999986
goes to the movies,male,existence,0.8145519839599729,2.638838696293533,0.0024
goes to the movies,male,existence,0.8783492017537355,2.638838696293533,0.0016
goes to the movies,male,existence,0.8273159901145846,2.638838696293533,0.0242
goes to the movies,male,existence,0.828834229381755,2.638838696293533,0.00019999999999999985
goes to the movies,male,existence,0.8324472566600889,2.638838696293533,0.0033999999999999994
goes to the movies,male,existence,0.8324472566600889,2.2373963496647775,0.0021999999999999997
goes to the movies,male,existence,0.8622711193747818,2.2373963496647775,0.0021999999999999997
goes to the movies,male,existence,0.793699307134375,2.2373963496647775,0.005999999999999996
goes to the movies,male,existence,0.793699307134375,1.3594092917628586,0.0008
goes to the movies,male,existence,0.793699307134375,2.5131947710178792,0.0004
goes to the movies,male,existence,0.861948549747467,2.5131947710178792,0.004399999999999999
goes to the movies,male,existence,0.864992376184091,2.5131947710178792,0.014199999999999994
goes to the movies,male,existence,0.8564711927901953,2.5131947710178792,0.002999999999999998
goes to the movies,male,existence,0.8257904073689133,2.5131947710178792,0.0033999999999999994
goes to the movies,male,existence,0.8271994893439114,2.5131947710178792,0.0021999999999999997
goes to the movies,male,existence,0.8271994893439114,2.42454333929345,0.0025999999999999986
goes to the movies,male,existence,0.825685984455049,2.42454333929345,0.00019999999999999985
goes to the movies,male,existence,0.8040010975673795,2.42454333929345,0.0035999999999999986
goes to the movies,male,existence,0.8438860543537885,2.42454333929345,0.004399999999999999
