Item,Gender,Measure,Gamma,Delta,Probability
smokes marijuana,male,existence,0.47519324836321175,2.4121874012053013,0.0008
smokes marijuana,male,existence,0.40058057149872184,2.4121874012053013,0.0004
smokes marijuana,male,existence,0.42668424756266177,2.4121874012053013,0.0020000000000000013
smokes marijuana,male,existence,0.46107545285485685,2.4121874012053013,0.00019999999999999985
smokes marijuana,male,existence,0.4287499866914004,2.4121874012053013,0.0011999999999999988
smokes marijuana,male,existence,0.39925098372623324,2.4121874012053013,0.0016
smokes marijuana,male,existence,0.48697249265387654,2.4121874012053013,0.0017999999999999993
smokes marijuana,male,existence,0.48697249265387654,2.0206427201628685,0.0004
smokes marijuana,male,existence,0.495762289268896,2.0206427201628685,0.00019999999999999985
smokes marijuana,male,existence,0.5232036577071995,2.0206427201628685,0.0009999999999999996
smokes marijuana,male,existence,0.43116130912676454,2.0206427201628685,0.005400000000000001
smokes marijuana,male,existence,0.5253520468249917,2.0206427201628685,0.004399999999999999
smokes marijuana,male,existence,0.33522499562241137,2.0206427201628685,0.0025999999999999986
smokes marijuana,male,existence,0.34904546826146543,2.0206427201628685,0.007999999999999997
smokes marijuana,male,existence,0.404608360491693,2.0206427201628685,0.006199999999999998
smokes marijuana,male,existence,0.5152034789789468,2.0206427201628685,0.0014000000000000006
smokes marijuana,male,existence,0.4661034301389009,2.0206427201628685,0.0035999999999999986
smokes marijuana,male,existence,0.4011438887100667,2.0206427201628685,0.0009999999999999996
smokes marijuana,male,existence,0.45522126369178295,2.0206427201628685,0.0004
smokes marijuana,male,existence,0.4801501198671758,2.0206427201628685,0.0004
smokes marijuana,male,existence,0.546417596982792,2.0206427201628685,0.0004
smokes marijuana,male,existence,0.4589930600486696,2.0206427201628685,0.0011999999999999988
smokes marijuana,male,existence,0.46388512197881937,2.0206427201628685,0.0008
smokes marijuana,male,existence,0.48433395056053996,2.0206427201628685,0.0008
smokes marijuana,male,existence,0.4024755300488323,2.0206427201628685,0.0004
smokes marijuana,male,existence,0.41171971056610346,2.0206427201628685,0.0004
smokes marijuana,male,existence,0.4699003682471812,2.0206427201628685,0.0009999999999999996
smokes marijuana,male,existence,0.4573969489429146,2.0206427201628685,0.007999999999999997
smokes marijuana,male,existence,0.43171740509569645,2.0206427201628685,0.0009999999999999996
smokes marijuana,male,existence,0.43171740509569645,2.281752193812281,0.0017999999999999993
smokes marijuana,male,existence,0.43171740509569645,2.279004326555878,0.0005999999999999994
smokes marijuana,male,existence,0.433621454751119,2.279004326555878,0.005400000000000001
smokes marijuana,male,existence,0.328006440307945,2.279004326555878,0.00019999999999999985
smokes marijuana,male,existence,0.4312185635790229,2.279004326555878,0.004199999999999997
smokes marijuana,male,existence,0.4294430448208004,2.279004326555878,0.007800000000000002
smokes marijuana,male,existence,0.47463071648962796,2.279004326555878,0.0011999999999999988
smokes marijuana,male,existence,0.47463071648962796,2.6489005889743567,0.0033999999999999994
smokes marijuana,male,existence,0.5023991505149752,2.6489005889743567,0.0033999999999999994
smokes marijuana,male,existence,0.38161233463324606,2.6489005889743567,0.0009999999999999996
smokes marijuana,male,existence,0.36360164801590145,2.6489005889743567,0.0032
smokes marijuana,male,existence,0.44533046754077077,2.6489005889743567,0.0025999999999999986
smokes marijuana,male,existence,0.425083109177649,2.6489005889743567,0.0005999999999999994
smokes marijuana,male,existence,0.41587523743510246,2.6489005889743567,0.0014000000000000006
smokes marijuana,male,existence,0.48049387778155506,2.6489005889743567,0.00019999999999999985
smokes marijuana,male,existence,0.4870059918612242,2.6489005889743567,0.0009999999999999996
