"workerid","category","item","val","gender","metric"
0,"employment","sells companies",0.005,"male","existence"
0,"food","smokes marijuana",0.45,"male","existence"
0,"food","eats caviar",0.15,"male","existence"
0,"clothing","wears socks",1,"male","existence"
0,"entertainment","listens to live music",0.9,"male","existence"
0,"clothing","wears a bra",0.025,"male","existence"
0,"food","does cocaine",0.2,"male","existence"
0,"entertainment","goes to the ballet",0.6,"male","existence"
0,"employment","sells things on eBay",0.4,"male","existence"
0,"employment","volunteers for soup kitchens",0.25,"male","existence"
0,"entertainment","listens to Pandora",0.55,"male","existence"
0,"entertainment","watches professional football",0.8,"male","existence"
0,"food","drinks coffee",0.95,"male","existence"
0,"employment","steals chewing gum",0.1,"male","existence"
0,"employment","volunteers for political campaigns",0.15,"male","existence"
0,"food","eats peanut butter",0.9,"male","existence"
0,"entertainment","goes to the movies",0.975,"male","existence"
0,"hobby","plays the banjo",0.2,"male","existence"
0,"entertainment","watches space launches",0.45,"male","existence"
0,"food","smokes cigarettes",0.375,"male","existence"
0,"employment","writes novels",0.1,"male","existence"
0,"hobby","hikes",0.75,"male","existence"
0,"clothing","wears a suit",0.8,"male","existence"
0,"clothing","wears a watch",0.85,"male","existence"
0,"hobby","runs",0.75,"male","existence"
0,"employment","writes poems",0.85,"male","existence"
0,"hobby","plays tennis",0.65,"male","existence"
0,"employment","steals cars",0.025,"male","existence"
0,"food","drinks beer",0.8,"male","existence"
0,"hobby","climbs mountains",0.45,"male","existence"
0,"clothing","wears slacks",0.85,"male","existence"
1,"food","eats caviar",0.1,"male","existence"
1,"employment","steals cars",0.001,"male","existence"
1,"hobby","plays tennis",0.3,"male","existence"
1,"employment","sells companies",0.015,"male","existence"
1,"entertainment","goes to the ballet",0.015,"male","existence"
1,"clothing","wears socks",1,"male","existence"
1,"food","eats peanut butter",0.95,"male","existence"
1,"food","smokes marijuana",0.3,"male","existence"
1,"employment","volunteers for political campaigns",0.1,"male","existence"
1,"food","does cocaine",0.06,"male","existence"
1,"clothing","wears a bra",0.015,"male","existence"
1,"entertainment","watches space launches",0.8,"male","existence"
1,"employment","writes poems",0.5,"male","existence"
1,"entertainment","goes to the movies",0.9,"male","existence"
1,"clothing","wears a suit",0.8,"male","existence"
1,"food","drinks beer",0.99,"male","existence"
1,"entertainment","watches professional football",0.975,"male","existence"
1,"hobby","climbs mountains",0.15,"male","existence"
1,"entertainment","listens to live music",0.75,"male","existence"
1,"hobby","hikes",0.7,"male","existence"
1,"employment","sells things on eBay",0.2,"male","existence"
1,"food","smokes cigarettes",0.6,"male","existence"
1,"food","drinks coffee",0.975,"male","existence"
1,"clothing","wears slacks",0.95,"male","existence"
1,"entertainment","listens to Pandora",0.4,"male","existence"
1,"employment","writes novels",0.025,"male","existence"
1,"hobby","runs",1,"male","existence"
1,"clothing","wears a watch",0.95,"male","existence"
1,"employment","volunteers for soup kitchens",0.015,"male","existence"
1,"employment","steals chewing gum",0.001,"male","existence"
1,"hobby","plays the banjo",0.008,"male","existence"
2,"entertainment","listens to Pandora",0.15,"male","existence"
2,"entertainment","goes to the movies",0.89,"male","existence"
2,"entertainment","listens to live music",0.77,"male","existence"
2,"hobby","runs",0.9,"male","existence"
2,"food","drinks beer",0.7,"male","existence"
2,"food","does cocaine",0.1,"male","existence"
2,"clothing","wears a suit",0.8,"male","existence"
2,"employment","volunteers for political campaigns",0.07,"male","existence"
2,"food","eats peanut butter",0.9,"male","existence"
2,"employment","steals chewing gum",0.03,"male","existence"
2,"hobby","climbs mountains",0.12,"male","existence"
2,"food","eats caviar",0.1,"male","existence"
2,"employment","sells things on eBay",0.06,"male","existence"
2,"employment","writes novels",0.011,"male","existence"
2,"clothing","wears a watch",0.9,"male","existence"
2,"entertainment","watches professional football",0.9,"male","existence"
2,"employment","writes poems",0.1,"male","existence"
2,"food","smokes marijuana",0.6,"male","existence"
2,"food","smokes cigarettes",0.3,"male","existence"
2,"hobby","plays tennis",0.13,"male","existence"
2,"hobby","hikes",0.899,"male","existence"
2,"clothing","wears a bra",0.007,"male","existence"
2,"food","drinks coffee",0.9,"male","existence"
2,"employment","volunteers for soup kitchens",0.13,"male","existence"
2,"entertainment","watches space launches",0.077,"male","existence"
2,"clothing","wears slacks",0.89,"male","existence"
2,"clothing","wears socks",0.99,"male","existence"
2,"employment","sells companies",0.021,"male","existence"
2,"entertainment","goes to the ballet",0.111,"male","existence"
2,"hobby","plays the banjo",0.065,"male","existence"
2,"employment","steals cars",0.059,"male","existence"
3,"hobby","plays the banjo",0.036,"male","existence"
3,"clothing","wears a suit",0.814,"male","existence"
3,"hobby","plays tennis",0.01213,"male","existence"
3,"hobby","climbs mountains",0.007,"male","existence"
3,"employment","volunteers for soup kitchens",0.045,"male","existence"
3,"employment","sells companies",0.007,"male","existence"
3,"employment","steals chewing gum",0.085,"male","existence"
3,"food","eats caviar",0.05,"male","existence"
3,"clothing","wears a bra",0.35,"male","existence"
3,"food","smokes marijuana",0.4,"male","existence"
3,"employment","volunteers for political campaigns",0.08,"male","existence"
3,"entertainment","goes to the ballet",0.2,"male","existence"
3,"clothing","wears a watch",0.762,"male","existence"
3,"entertainment","watches professional football",0.98,"male","existence"
3,"food","eats peanut butter",0.99,"male","existence"
3,"hobby","hikes",0.23,"male","existence"
3,"entertainment","watches space launches",0.18,"male","existence"
3,"entertainment","goes to the movies",0.992,"male","existence"
3,"employment","writes poems",0.082,"male","existence"
3,"clothing","wears socks",1,"male","existence"
3,"food","smokes cigarettes",0.09,"male","existence"
3,"hobby","runs",0.996,"male","existence"
3,"clothing","wears slacks",0.9,"male","existence"
