"Item","0","1","2","3","4","5","6","7","8","9","10"
"climbs mountains",0,0.6,1.1,1.7,2.2,2.8,3.3,3.9,4.4,5,5.5
"does cocaine",0,0.7,1.5,2.2,2.9,3.6,4.4,5.1,5.8,6.6,7.3
"drinks beer",1.6,2.2,2.8,3.4,4,4.6,5.2,5.8,6.4,7,7.6
"drinks coffee",4.6,5,5.4,5.7,6.1,6.5,6.9,7.3,7.6,8,8.4
"eats caviar",0,0.4,0.8,1.2,1.6,2,2.3,2.7,3.1,3.5,3.9
"eats peanut butter",3,3.4,3.9,4.3,4.7,5.2,5.6,6,6.4,6.9,7.3
"goes to the ballet",0,0.4,0.8,1.2,1.6,2,2.5,2.9,3.3,3.7,4.1
"goes to the movies",2.3,2.6,3,3.3,3.7,4,4.3,4.7,5,5.4,5.7
"hikes",1.6,2,2.4,2.8,3.2,3.6,3.9,4.3,4.7,5.1,5.5
"listens to live music",0,0.7,1.4,2.1,2.8,3.5,4.1,4.8,5.5,6.2,6.9
"listens to Pandora",2.3,2.8,3.3,3.9,4.4,4.9,5.4,5.9,6.5,7,7.5
"plays tennis",1.6,2.1,2.5,3,3.5,3.9,4.4,4.9,5.4,5.8,6.3
"plays the banjo",0,0.7,1.4,2.2,2.9,3.6,4.3,5,5.8,6.5,7.2
"runs",0,0.7,1.5,2.2,3,3.7,4.4,5.2,5.9,6.7,7.4
"sells companies",0,0.4,0.8,1.2,1.6,2,2.4,2.8,3.2,3.6,4
"sells things on eBay",0,0.6,1.3,1.9,2.5,3.1,3.8,4.4,5,5.7,6.3
"smokes cigarettes",0,1.1,2.1,3.2,4.2,5.2,6.3,7.4,8.4,9.5,10.5
"smokes marijuana",0,0.8,1.6,2.4,3.2,4,4.9,5.7,6.5,7.3,8.1
"steals cars",0,0.4,0.9,1.3,1.7,2.1,2.6,3,3.4,3.9,4.3
"steals chewing gum",0,0.5,1,1.4,1.9,2.4,2.9,3.4,3.8,4.3,4.8
"volunteers for political campaigns",0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5
"volunteers for soup kitchens",0,0.7,1.3,2,2.7,3.4,4,4.7,5.4,6,6.7
"watches professional football",1.6,2.1,2.7,3.2,3.7,4.2,4.8,5.3,5.8,6.4,6.9
"watches space launches",0,0.4,0.8,1.2,1.6,2,2.3,2.7,3.1,3.5,3.9
"wears a bra",0,0.8,1.5,2.2,3,3.8,4.5,5.2,6,6.8,7.5
"wears a suit",0,0.8,1.5,2.2,3,3.8,4.5,5.2,6,6.8,7.5
"wears a watch",2.3,2.8,3.3,3.9,4.4,4.9,5.4,5.9,6.5,7,7.5
"wears slacks",1.6,2.2,2.8,3.4,4,4.6,5.1,5.7,6.3,6.9,7.5
"wears socks",5.7,5.9,6.1,6.2,6.4,6.6,6.8,7,7.1,7.3,7.5
"writes novels",0,0.3,0.6,1,1.3,1.6,1.9,2.2,2.6,2.9,3.2
"writes poems",0,0.7,1.4,2.2,2.9,3.6,4.3,5,5.8,6.5,7.2
