"workerid","rt","trial_type","evidenceStatement","freqLevel","characterName","habitual","n","instance","time_period","response","frequency","logFreq"
0,7374,"truthJudge","vacationed in Switzerland",25,"Alicia","vacations in Switzerland",1,"time","10 years","disagree-key",0.1,-2.30258509299405
0,4245,"truthJudge","drank",75,"Alexander","drinks beer",15,"beers","month","agree-key",180,5.19295685089021
0,1317,"truthJudge","smoked",75,"Lucas","smokes",70,"times","week","agree-key",3640,8.19973896063079
0,5502,"truthJudge","biked to work",25,"Laura","bikes to work",2,"times","month","disagree-key",24,3.17805383034795
0,1390,"truthJudge","ran",50,"Stephanie","runs",25,"times","year","agree-key",25,3.2188758248682
0,3783,"truthJudge","stole",50,"Julia","steals cars",2,"cars","10 years","agree-key",0.2,-1.6094379124341
0,3772,"truthJudge","wrote",25,"Greg","writes novels",2,"novels","10 years","agree-key",0.2,-1.6094379124341
0,2757,"truthJudge","biked to work",75,"Michelle","bikes to work",24,"times","month","agree-key",288,5.66296048013595
0,3708,"truthJudge","hiked",75,"Stephen","hikes",12,"times","year","agree-key",12,2.484906649788
0,2013,"truthJudge","ate granola for breakfast",75,"Kathleen","eats granola for breakfast",15,"times","month","agree-key",180,5.19295685089021
0,3784,"truthJudge","vacationed in Switzerland",75,"Anthony","vacations in Switzerland",6,"times","10 years","agree-key",0.6,-0.51082562376599
0,3008,"truthJudge","wrote",50,"Lee","writes poems",5,"poems","5 years","agree-key",1,0
0,2978,"truthJudge","drove to work",75,"Cameron","drives to work",5,"times","week","agree-key",260,5.56068163101553
0,4606,"truthJudge","wrote",25,"Maya","writes poems",1,"poem","5 years","disagree-key",0.2,-1.6094379124341
0,3325,"truthJudge","biked to work",50,"Alexander","bikes to work",6,"times","month","agree-key",72,4.27666611901606
0,2692,"truthJudge","played computer games",25,"Tom","plays computer games",2,"times","week","agree-key",104,4.64439089914137
0,3109,"truthJudge","hiked",50,"Melinda","hikes",4,"times","year","agree-key",4,1.38629436111989
0,3075,"truthJudge","smoked",50,"Daniel","smokes",7,"times","week","agree-key",364,5.89715386763674
0,3113,"truthJudge","hiked",25,"Daniel","hikes",1,"time","year","disagree-key",1,0
0,1276,"truthJudge","ran",75,"Gabriel","runs",120,"times","year","agree-key",120,4.78749174278205
0,2039,"truthJudge","played computer games",50,"William","plays computer games",4,"times","week","agree-key",208,5.33753807970132
0,2621,"truthJudge","drank",50,"Sophia","drinks beer",5,"beers","month","agree-key",60,4.0943445622221
0,3070,"truthJudge","ate granola for breakfast",25,"William","eats granola for breakfast",2,"times","month","disagree-key",24,3.17805383034795
0,1610,"truthJudge","stole",75,"John","steals cars",5,"cars","10 years","agree-key",0.5,-0.693147180559945
0,3378,"truthJudge","ate granola for breakfast",50,"David","eats granola for breakfast",5,"times","month","agree-key",60,4.0943445622221
0,1616,"truthJudge","smoked",25,"Anthony","smokes",1,"time","week","disagree-key",52,3.95124371858143
0,3502,"truthJudge","drove to work",25,"Angela","drives to work",3,"times","week","agree-key",156,5.04985600724954
0,1525,"truthJudge","stole",25,"Jennifer","steals cars",1,"car","10 years","agree-key",0.1,-2.30258509299405
0,8764,"truthJudge","vacationed in Switzerland",50,"Veronica","vacations in Switzerland",2,"times","10 years","disagree-key",0.2,-1.6094379124341
0,1705,"truthJudge","ran",25,"Michael","runs",3,"times","year","disagree-key",3,1.09861228866811
0,1342,"truthJudge","wrote",75,"Gabriel","writes novels",20,"novels","10 years","agree-key",2,0.693147180559945
