"workerid","category","item","val","gender","metric"
0,"employment","sells companies",6.81618808545665,"male","logWait"
0,"food","smokes marijuana",1.79175946922805,"male","logWait"
0,"food","eats caviar",4.80128506491438,"male","logWait"
0,"clothing","wears socks",0.154150679827258,"male","logWait"
0,"entertainment","listens to live music",4.29045944114839,"male","logWait"
0,"clothing","wears a bra",7.50933526601659,"male","logWait"
0,"food","does cocaine",3.59731226058845,"male","logWait"
0,"entertainment","goes to the ballet",5.89989735358249,"male","logWait"
0,"employment","sells things on eBay",4.80128506491438,"male","logWait"
0,"employment","volunteers for soup kitchens",5.20675017302255,"male","logWait"
0,"entertainment","listens to Pandora",0.336472236621213,"male","logWait"
0,"entertainment","watches professional football",3.59731226058845,"male","logWait"
0,"food","drinks coffee",0.336472236621213,"male","logWait"
0,"employment","steals chewing gum",5.89989735358249,"male","logWait"
0,"employment","volunteers for political campaigns",6.81618808545665,"male","logWait"
0,"food","eats peanut butter",2.70805020110221,"male","logWait"
0,"entertainment","goes to the movies",4.29045944114839,"male","logWait"
0,"hobby","plays the banjo",1.09861228866811,"male","logWait"
0,"entertainment","watches space launches",5.20675017302255,"male","logWait"
0,"food","smokes cigarettes",-0.762140052046897,"male","logWait"
0,"employment","writes novels",6.81618808545665,"male","logWait"
0,"hobby","hikes",4.80128506491438,"male","logWait"
0,"clothing","wears a suit",0.559615787935423,"male","logWait"
0,"clothing","wears a watch",0.154150679827258,"male","logWait"
0,"hobby","runs",0.847297860387204,"male","logWait"
0,"employment","writes poems",7.50933526601659,"male","logWait"
0,"hobby","plays tennis",4.5136029924626,"male","logWait"
0,"employment","steals cars",7.50933526601659,"male","logWait"
0,"food","drinks beer",0.847297860387204,"male","logWait"
0,"hobby","climbs mountains",5.89989735358249,"male","logWait"
0,"clothing","wears slacks",0.559615787935423,"male","logWait"
1,"food","eats caviar",4.29045944114839,"male","logWait"
1,"employment","steals cars",3.19184715248028,"male","logWait"
1,"hobby","plays tennis",3.19184715248028,"male","logWait"
1,"employment","sells companies",7.50933526601659,"male","logWait"
1,"entertainment","goes to the ballet",7.50933526601659,"male","logWait"
1,"clothing","wears socks",0,"male","logWait"
1,"food","eats peanut butter",1.98787434815435,"male","logWait"
1,"food","smokes marijuana",1.80555279136039,"male","logWait"
1,"employment","volunteers for political campaigns",5.89989735358249,"male","logWait"
1,"food","does cocaine",3.19184715248028,"male","logWait"
1,"clothing","wears a bra",0.601579987034455,"male","logWait"
1,"entertainment","watches space launches",5.89989735358249,"male","logWait"
1,"employment","writes poems",4.80128506491438,"male","logWait"
1,"entertainment","goes to the movies",3.82045581190266,"male","logWait"
1,"clothing","wears a suit",0.4192584302405,"male","logWait"
1,"food","drinks beer",1.2947271675944,"male","logWait"
1,"entertainment","watches professional football",3.41499070379449,"male","logWait"
1,"hobby","climbs mountains",5.20675017302255,"male","logWait"
1,"entertainment","listens to live music",5.89989735358249,"male","logWait"
1,"hobby","hikes",3.41499070379449,"male","logWait"
1,"employment","sells things on eBay",3.41499070379449,"male","logWait"
1,"food","smokes cigarettes",-2.30258509299405,"male","logWait"
1,"food","drinks coffee",-0.538996500732687,"male","logWait"
1,"clothing","wears slacks",0.889262059486236,"male","logWait"
1,"entertainment","listens to Pandora",1.58240924004618,"male","logWait"
1,"employment","writes novels",5.20675017302255,"male","logWait"
1,"hobby","runs",1.58240924004618,"male","logWait"
1,"clothing","wears a watch",0.601579987034455,"male","logWait"
1,"employment","volunteers for soup kitchens",3.41499070379449,"male","logWait"
1,"employment","steals chewing gum",7.50933526601659,"male","logWait"
1,"hobby","plays the banjo",1.80555279136039,"male","logWait"
2,"entertainment","listens to Pandora",1.79175946922805,"male","logWait"
2,"entertainment","goes to the movies",4.5136029924626,"male","logWait"
2,"entertainment","listens to live music",6.41072297734848,"male","logWait"
2,"hobby","runs",5.20675017302255,"male","logWait"
2,"food","drinks beer",2.30258509299405,"male","logWait"
2,"food","does cocaine",7.50933526601659,"male","logWait"
2,"clothing","wears a suit",4.80128506491438,"male","logWait"
2,"employment","volunteers for political campaigns",7.50933526601659,"male","logWait"
2,"food","eats peanut butter",1.94591014905531,"male","logWait"
2,"employment","steals chewing gum",7.50933526601659,"male","logWait"
2,"hobby","climbs mountains",5.20675017302255,"male","logWait"
2,"food","eats caviar",5.20675017302255,"male","logWait"
2,"employment","sells things on eBay",4.29045944114839,"male","logWait"
2,"employment","writes novels",7.50933526601659,"male","logWait"
2,"clothing","wears a watch",1.25276296849537,"male","logWait"
2,"entertainment","watches professional football",2.70805020110221,"male","logWait"
2,"employment","writes poems",5.89989735358249,"male","logWait"
2,"food","smokes marijuana",2.70805020110221,"male","logWait"
2,"food","smokes cigarettes",-2.65926003693278,"male","logWait"
2,"hobby","plays tennis",4.5136029924626,"male","logWait"
2,"hobby","hikes",2.70805020110221,"male","logWait"
2,"clothing","wears a bra",7.50933526601659,"male","logWait"
2,"food","drinks coffee",0.154150679827258,"male","logWait"
2,"employment","volunteers for soup kitchens",5.20675017302255,"male","logWait"
2,"entertainment","watches space launches",7.50933526601659,"male","logWait"
2,"clothing","wears slacks",0.336472236621213,"male","logWait"
2,"clothing","wears socks",0.154150679827258,"male","logWait"
2,"employment","sells companies",7.50933526601659,"male","logWait"
2,"entertainment","goes to the ballet",7.50933526601659,"male","logWait"
2,"hobby","plays the banjo",1.25276296849537,"male","logWait"
2,"employment","steals cars",5.20675017302255,"male","logWait"
3,"hobby","plays the banjo",3.82045581190266,"male","logWait"
3,"clothing","wears a suit",0.510825623765991,"male","logWait"
3,"hobby","plays tennis",1.25276296849537,"male","logWait"
3,"hobby","climbs mountains",2.01490302054226,"male","logWait"
3,"employment","volunteers for soup kitchens",5.20675017302255,"male","logWait"
3,"employment","sells companies",6.81618808545665,"male","logWait"
3,"employment","steals chewing gum",7.50933526601659,"male","logWait"
3,"food","eats caviar",5.20675017302255,"male","logWait"
3,"clothing","wears a bra",7.50933526601659,"male","logWait"
3,"food","smokes marijuana",4.29045944114839,"male","logWait"
3,"employment","volunteers for political campaigns",7.50933526601659,"male","logWait"
3,"entertainment","goes to the ballet",5.89989735358249,"male","logWait"
3,"clothing","wears a watch",4.29045944114839,"male","logWait"
3,"entertainment","watches professional football",0.847297860387204,"male","logWait"
3,"food","eats peanut butter",0.847297860387204,"male","logWait"
3,"hobby","hikes",2.01490302054226,"male","logWait"
3,"entertainment","watches space launches",5.20675017302255,"male","logWait"
3,"entertainment","goes to the movies",3.40119738166216,"male","logWait"
3,"employment","writes poems",6.81618808545665,"male","logWait"
3,"clothing","wears socks",0.336472236621213,"male","logWait"
3,"food","smokes cigarettes",0.154150679827258,"male","logWait"
3,"hobby","runs",1.79175946922805,"male","logWait"
3,"clothing","wears slacks",0.559615787935423,"male","logWait"
3,"employment","steals cars",6.81618808545665,"male","logWait"
3,"entertainment","listens to Pandora",0.154150679827258,"male","logWait"
3,"food","drinks beer",0.559615787935423,"male","logWait"
3,"entertainment","listens to live music",0.559615787935423,"male","logWait"
3,"employment","writes novels",7.50933526601659,"male","logWait"
3,"food","does cocaine",6.81618808545665,"male","logWait"
3,"food","drinks coffee",0.847297860387204,"male","logWait"
3,"employment","sells things on eBay",1.25276296849537,"male","logWait"
4,"entertainment","listens to Pandora",2.68102152871429,"male","logWait"
4,"food","smokes marijuana",3.95398720452718,"male","logWait"
4,"food","smokes cigarettes",-2.65926003693278,"male","logWait"
4,"hobby","hikes",5.20675017302255,"male","logWait"
4,"entertainment","listens to live music",4.5136029924626,"male","logWait"
4,"entertainment","watches space launches",5.89989735358249,"male","logWait"
4,"employment","writes novels",5.89989735358249,"male","logWait"
4,"clothing","wears a watch",0.19611487892629,"male","logWait"
4,"hobby","plays tennis",4.5136029924626,"male","logWait"
4,"clothing","wears a bra",7.50933526601659,"male","logWait"
4,"employment","writes poems",7.50933526601659,"male","logWait"
4,"employment","steals chewing gum",7.50933526601659,"male","logWait"
4,"employment","sells companies",7.50933526601659,"male","logWait"
4,"hobby","climbs mountains",5.89989735358249,"male","logWait"
4,"employment","sells things on eBay",7.50933526601659,"male","logWait"
4,"hobby","plays the banjo",5.89989735358249,"male","logWait"
4,"food","does cocaine",5.89989735358249,"male","logWait"
4,"employment","volunteers for soup kitchens",5.89989735358249,"male","logWait"
4,"food","eats caviar",7.50933526601659,"male","logWait"
4,"employment","volunteers for political campaigns",7.50933526601659,"male","logWait"
4,"hobby","runs",5.89989735358249,"male","logWait"
4,"food","drinks beer",2.01490302054226,"male","logWait"
4,"entertainment","watches professional football",3.19184715248028,"male","logWait"
4,"clothing","wears socks",0,"male","logWait"
4,"employment","steals cars",7.50933526601659,"male","logWait"
4,"food","eats peanut butter",2.9041650800285,"male","logWait"
4,"food","drinks coffee",0.336472236621213,"male","logWait"
4,"entertainment","goes to the ballet",5.89989735358249,"male","logWait"
4,"clothing","wears slacks",0.336472236621213,"male","logWait"
4,"clothing","wears a suit",4.29045944114839,"male","logWait"
4,"entertainment","goes to the movies",4.80128506491438,"male","logWait"
5,"clothing","wears a suit",0.336472236621213,"male","logWait"
5,"entertainment","watches professional football",0.847297860387204,"male","logWait"
5,"employment","sells things on eBay",4.5136029924626,"male","logWait"
5,"hobby","runs",1.79175946922805,"male","logWait"
5,"hobby","plays the banjo",5.20675017302255,"male","logWait"
5,"employment","sells companies",5.89989735358249,"male","logWait"
5,"food","does cocaine",4.29045944114839,"male","logWait"
5,"employment","volunteers for soup kitchens",5.20675017302255,"male","logWait"
5,"food","smokes marijuana",3.70267277624627,"male","logWait"
5,"food","eats peanut butter",1.45528723260684,"male","logWait"
5,"employment","steals chewing gum",5.89989735358249,"male","logWait"
5,"employment","writes poems",4.80128506491438,"male","logWait"
5,"entertainment","goes to the movies",4.29045944114839,"male","logWait"
5,"food","eats caviar",5.89989735358249,"male","logWait"
5,"hobby","hikes",4.10813788435444,"male","logWait"
5,"hobby","climbs mountains",4.80128506491438,"male","logWait"
5,"entertainment","listens to live music",4.5136029924626,"male","logWait"
5,"clothing","wears a watch",0.336472236621213,"male","logWait"
5,"employment","writes novels",5.89989735358249,"male","logWait"
5,"employment","volunteers for political campaigns",5.89989735358249,"male","logWait"
5,"clothing","wears socks",0,"male","logWait"
5,"food","drinks coffee",0.336472236621213,"male","logWait"
5,"entertainment","listens to Pandora",3.95398720452718,"male","logWait"
5,"employment","steals cars",5.89989735358249,"male","logWait"
5,"food","drinks beer",1.94591014905531,"male","logWait"
5,"clothing","wears a bra",5.89989735358249,"male","logWait"
5,"hobby","plays tennis",2.01490302054226,"male","logWait"
5,"food","smokes cigarettes",2.9041650800285,"male","logWait"
5,"entertainment","watches space launches",5.89989735358249,"male","logWait"
5,"clothing","wears slacks",2.49869997192034,"male","logWait"
5,"entertainment","goes to the ballet",5.89989735358249,"male","logWait"
6,"hobby","climbs mountains",5.89989735358249,"male","logWait"
6,"employment","writes poems",7.50933526601659,"male","logWait"
6,"food","does cocaine",1.25276296849537,"male","logWait"
6,"clothing","wears socks",0,"male","logWait"
6,"employment","sells companies",7.50933526601659,"male","logWait"
6,"entertainment","goes to the ballet",7.50933526601659,"male","logWait"
6,"entertainment","watches professional football",1.25276296849537,"male","logWait"
6,"food","smokes cigarettes",0,"male","logWait"
6,"employment","sells things on eBay",4.10813788435444,"male","logWait"
6,"employment","steals cars",5.20675017302255,"male","logWait"
6,"entertainment","goes to the movies",3.40119738166216,"male","logWait"
6,"employment","steals chewing gum",7.50933526601659,"male","logWait"
6,"hobby","hikes",4.80128506491438,"male","logWait"
6,"food","smokes marijuana",2.01490302054226,"male","logWait"
6,"clothing","wears a suit",4.10813788435444,"male","logWait"
6,"entertainment","listens to Pandora",2.01490302054226,"male","logWait"
6,"food","eats peanut butter",1.94591014905531,"male","logWait"
6,"entertainment","listens to live music",4.10813788435444,"male","logWait"
6,"employment","volunteers for soup kitchens",7.50933526601659,"male","logWait"
6,"employment","volunteers for political campaigns",7.50933526601659,"male","logWait"
6,"entertainment","watches space launches",7.50933526601659,"male","logWait"
6,"hobby","plays the banjo",1.25276296849537,"male","logWait"
6,"food","eats caviar",5.20675017302255,"male","logWait"
6,"hobby","plays tennis",2.01490302054226,"male","logWait"
6,"food","drinks beer",0.559615787935423,"male","logWait"
6,"clothing","wears a watch",0,"male","logWait"
6,"clothing","wears a bra",3.40119738166216,"male","logWait"
6,"hobby","runs",4.5136029924626,"male","logWait"
6,"clothing","wears slacks",0.336472236621213,"male","logWait"
6,"employment","writes novels",7.50933526601659,"male","logWait"
6,"food","drinks coffee",0.336472236621213,"male","logWait"
7,"entertainment","listens to live music",5.20675017302255,"male","logWait"
7,"employment","steals chewing gum",7.50933526601659,"male","logWait"
7,"employment","sells companies",7.50933526601659,"male","logWait"
7,"entertainment","goes to the ballet",7.50933526601659,"male","logWait"
7,"entertainment","watches professional football",2.9041650800285,"male","logWait"
7,"employment","writes novels",7.50933526601659,"male","logWait"
7,"food","smokes cigarettes",0.336472236621213,"male","logWait"
7,"hobby","plays the banjo",1.25276296849537,"male","logWait"
7,"clothing","wears a suit",0.336472236621213,"male","logWait"
7,"clothing","wears slacks",1.94591014905531,"male","logWait"
7,"entertainment","listens to Pandora",0.336472236621213,"male","logWait"
7,"food","smokes marijuana",0.559615787935423,"male","logWait"
7,"food","eats peanut butter",1.25276296849537,"male","logWait"
7,"entertainment","watches space launches",5.89989735358249,"male","logWait"
7,"food","eats caviar",5.20675017302255,"male","logWait"
7,"employment","sells things on eBay",2.30258509299405,"male","logWait"
7,"hobby","hikes",4.29045944114839,"male","logWait"
