"category","item","key","val","logval","gender"
"employment","sells companies","Ntimes_m",2,0.693147180559945,"male"
"food","smokes marijuana","Ntimes_m",300,5.7037824746562,"male"
"food","eats caviar","Ntimes_m",15,2.70805020110221,"male"
"clothing","wears socks","Ntimes_m",1560,7.35244110024358,"male"
"entertainment","listens to live music","Ntimes_m",25,3.2188758248682,"male"
"clothing","wears a bra","Ntimes_m",1,0,"male"
"food","does cocaine","Ntimes_m",50,3.91202300542815,"male"
"entertainment","goes to the ballet","Ntimes_m",5,1.6094379124341,"male"
"employment","sells things on eBay","Ntimes_m",15,2.70805020110221,"male"
"employment","volunteers for soup kitchens","Ntimes_m",10,2.30258509299405,"male"
"entertainment","listens to Pandora","Ntimes_m",1300,7.17011954344963,"male"
"entertainment","watches professional football","Ntimes_m",50,3.91202300542815,"male"
"food","drinks coffee","Ntimes_m",1300,7.17011954344963,"male"
"employment","steals chewing gum","Ntimes_m",5,1.6094379124341,"male"
"employment","volunteers for political campaigns","Ntimes_m",2,0.693147180559945,"male"
"food","eats peanut butter","Ntimes_m",120,4.78749174278205,"male"
"entertainment","goes to the movies","Ntimes_m",25,3.2188758248682,"male"
"hobby","plays the banjo","Ntimes_m",600,6.39692965521615,"male"
"entertainment","watches space launches","Ntimes_m",10,2.30258509299405,"male"
"food","smokes cigarettes","Ntimes_m",3900,8.26873183211774,"male"
"employment","writes novels","Ntimes_m",2,0.693147180559945,"male"
"hobby","hikes","Ntimes_m",15,2.70805020110221,"male"
"clothing","wears a suit","Ntimes_m",1040,6.94697599213542,"male"
"clothing","wears a watch","Ntimes_m",1560,7.35244110024358,"male"
"hobby","runs","Ntimes_m",780,6.65929391968364,"male"
"employment","writes poems","Ntimes_m",1,0,"male"
"hobby","plays tennis","Ntimes_m",20,2.99573227355399,"male"
"employment","steals cars","Ntimes_m",1,0,"male"
"food","drinks beer","Ntimes_m",780,6.65929391968364,"male"
"hobby","climbs mountains","Ntimes_m",5,1.6094379124341,"male"
"clothing","wears slacks","Ntimes_m",1040,6.94697599213542,"male"
"food","eats caviar","Ntimes_m",25,3.2188758248682,"male"
"employment","steals cars","Ntimes_m",75,4.31748811353631,"male"
"hobby","plays tennis","Ntimes_m",75,4.31748811353631,"male"
"employment","sells companies","Ntimes_m",1,0,"male"
"entertainment","goes to the ballet","Ntimes_m",1,0,"male"
"clothing","wears socks","Ntimes_m",1825,7.50933526601659,"male"
"food","eats peanut butter","Ntimes_m",250,5.52146091786225,"male"
"food","smokes marijuana","Ntimes_m",300,5.7037824746562,"male"
"employment","volunteers for political campaigns","Ntimes_m",5,1.6094379124341,"male"
"food","does cocaine","Ntimes_m",75,4.31748811353631,"male"
